ID,movie_title,class,year,runtime,rating,meta
tt3397884,Sicario,R,2015.0,121.0,7.6,82.0
tt2404435,The Magnificent Seven,PG-13,2016.0,132.0,6.9,54.0
tt0110475,The Mask,PG-13,1994.0,101.0,6.9,56.0
tt5420210,The Comeback Trail,R,2020.0,104.0,5.9,
tt1371111,Cloud Atlas,R,2012.0,172.0,7.4,55.0
tt11229780,Infidel,R,2019.0,108.0,6.0,
tt1951264,The Hunger Games: Catching Fire,PG-13,2013.0,146.0,7.5,76.0
tt3371366,Transformers: The Last Knight,PG-13,2017.0,154.0,5.2,27.0
tt0093773,Predator,R,1987.0,107.0,7.8,45.0
tt1291584,Warrior,PG-13,2011.0,140.0,8.2,71.0
tt0353969,Memories of Murder,Not Rated,2003.0,132.0,8.1,82.0
tt5095030,Ant-Man and the Wasp,PG-13,2018.0,118.0,7.1,70.0
tt0096895,Batman,PG-13,1989.0,126.0,7.5,69.0
tt4425200,John Wick: Chapter 2,R,2017.0,122.0,7.5,75.0
tt0080455,The Blues Brothers,R,1980.0,133.0,7.9,60.0
tt2140479,The Accountant,R,2016.0,128.0,7.3,51.0
tt0087469,Indiana Jones and the Temple of Doom,PG,1984.0,118.0,7.6,57.0
tt1512235,Super,R,2010.0,96.0,6.7,50.0
tt6902676,Guns Akimbo,R,2019.0,98.0,6.3,42.0
tt0413300,Spider-Man 3,PG-13,2007.0,139.0,6.2,59.0
tt1245526,RED,PG-13,2010.0,111.0,7.0,60.0
tt4530422,Overlord,R,2018.0,110.0,6.6,60.0
tt3741700,Godzilla: King of the Monsters,PG-13,2019.0,132.0,6.0,48.0
tt10324122,Secret Society of Second Born Royals,TV-PG,2020.0,99.0,4.7,34.0
tt7149730,The Silencing,R,2020.0,93.0,6.1,
tt1276104,Looper,R,2012.0,113.0,7.4,84.0
tt1972591,King Arthur: Legend of the Sword,PG-13,2017.0,126.0,6.7,41.0
tt1397514,Journey 2: The Mysterious Island,PG,2012.0,94.0,5.8,41.0
tt1843866,Captain America: The Winter Soldier,PG-13,2014.0,136.0,7.7,70.0
tt0258463,The Bourne Identity,PG-13,2002.0,119.0,7.9,68.0
tt1905041,Furious 6,PG-13,2013.0,130.0,7.1,61.0
tt0458525,X-Men Origins: Wolverine,PG-13,2009.0,107.0,6.6,40.0
tt2381249,Mission: Impossible - Rogue Nation,PG-13,2015.0,131.0,7.4,75.0
tt0816711,World War Z,PG-13,2013.0,116.0,7.0,63.0
tt0096446,Willow,PG,1988.0,126.0,7.3,47.0
tt3393786,Jack Reacher: Never Go Back,PG-13,2016.0,118.0,6.1,47.0
tt1979320,Rush,R,2013.0,123.0,8.1,74.0
tt1046173,G.I. Joe: The Rise of Cobra,PG-13,2009.0,118.0,5.8,32.0
tt1137450,Death Wish,R,2018.0,107.0,6.3,31.0
tt1300854,Iron Man Three,PG-13,2013.0,130.0,7.2,62.0
tt0102798,Robin Hood: Prince of Thieves,PG-13,1991.0,143.0,6.9,51.0
tt1488606,Triple Frontier,R,2019.0,125.0,6.4,61.0
tt0360717,King Kong,PG-13,2005.0,187.0,7.2,81.0
tt1104001,TRON: Legacy,PG,2010.0,125.0,6.8,49.0
tt0369610,Jurassic World,PG-13,2015.0,124.0,7.0,59.0
tt0418279,Transformers,PG-13,2007.0,144.0,7.0,61.0
tt1735898,Snow White and the Huntsman,PG-13,2012.0,127.0,6.1,57.0
tt0116367,From Dusk Till Dawn,R,1996.0,108.0,7.2,48.0
tt1446192,Rise of the Guardians,PG,2012.0,97.0,7.3,58.0
tt1840309,Divergent,PG-13,2014.0,139.0,6.6,48.0
tt0379786,Serenity,PG-13,2005.0,119.0,7.8,74.0
tt1219827,Ghost in the Shell,PG-13,2017.0,107.0,6.3,52.0
tt0337978,Live Free or Die Hard,PG-13,2007.0,128.0,7.1,69.0
tt2406566,Atomic Blonde,R,2017.0,115.0,6.7,63.0
tt4500922,Maze Runner: The Death Cure,PG-13,2018.0,143.0,6.2,50.0
tt0330793,The Punisher,R,2004.0,124.0,6.4,33.0
tt4881806,Jurassic World: Fallen Kingdom,PG-13,2018.0,128.0,6.2,51.0
tt0948470,The Amazing Spider-Man,PG-13,2012.0,136.0,6.9,66.0
tt0086960,Beverly Hills Cop,R,1984.0,105.0,7.3,66.0
tt0117500,The Rock,R,1996.0,136.0,7.4,58.0
tt9243946,El Camino: A Breaking Bad Movie,TV-MA,2019.0,122.0,7.3,72.0
tt1390411,In the Heart of the Sea,PG-13,2015.0,122.0,6.9,47.0
tt0120201,Starship Troopers,R,1997.0,129.0,7.2,51.0
tt3717490,Power Rangers,PG-13,2017.0,124.0,5.9,44.0
tt0463985,The Fast and the Furious: Tokyo Drift,PG-13,2006.0,104.0,6.0,45.0
tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,PG,2005.0,93.0,3.6,38.0
